"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Sep-2024","EQ","1,938.75","1,938.75","1,881.30","1,952.55","1,892.35","1,892.15","1,898.20","1,975.75","1,351.65","63,85,468","12,12,08,91,191.90","2,52,266"
"17-Sep-2024","EQ","1,947.75","1,958.45","1,942.15","1,950.25","1,950.00","1,952.55","1,951.76","1,975.75","1,351.65","27,93,127","5,45,15,01,004.50","1,42,203"
"16-Sep-2024","EQ","1,945.75","1,952.00","1,933.05","1,944.10","1,946.00","1,950.25","1,943.67","1,975.75","1,351.65","15,70,181","3,05,19,12,524.40","72,563"
"13-Sep-2024","EQ","1,950.45","1,958.60","1,935.65","1,950.45","1,943.00","1,944.10","1,948.85","1,975.75","1,351.65","38,43,127","7,48,96,65,426.75","1,20,139"
"12-Sep-2024","EQ","1,925.00","1,956.40","1,910.80","1,910.15","1,943.80","1,950.45","1,933.56","1,975.75","1,351.65","85,55,092","16,54,17,70,366.05","2,19,622"
"11-Sep-2024","EQ","1,914.70","1,926.00","1,905.00","1,912.30","1,912.95","1,910.15","1,915.80","1,975.75","1,351.65","53,12,946","10,17,85,52,300.90","2,54,659"
"10-Sep-2024","EQ","1,904.90","1,935.00","1,896.00","1,894.65","1,914.15","1,912.30","1,920.51","1,975.75","1,351.65","69,09,600","13,26,99,85,403.85","2,65,300"
"09-Sep-2024","EQ","1,890.00","1,920.85","1,889.00","1,901.85","1,903.00","1,894.65","1,905.13","1,975.75","1,351.65","47,72,612","9,09,24,31,539.80","1,86,509"
"06-Sep-2024","EQ","1,922.00","1,936.50","1,896.85","1,933.15","1,904.00","1,901.85","1,908.09","1,975.75","1,351.65","58,48,106","11,15,87,20,885.65","1,90,652"
"05-Sep-2024","EQ","1,926.25","1,940.00","1,909.60","1,922.45","1,933.00","1,933.15","1,924.01","1,975.75","1,351.65","40,81,810","7,85,34,28,072.45","1,48,492"
"04-Sep-2024","EQ","1,921.10","1,927.20","1,900.05","1,941.25","1,920.70","1,922.45","1,913.05","1,975.75","1,351.65","47,78,310","9,14,11,25,232.25","1,78,663"
